Cell Type	Cell Type	Cell Line	Genotype	Test Condition	Sample Time	ID
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	0	SKA03_2
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	0	SKA03_3
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	0	SKA03_5
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	1	SKA03_8
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	1	SKA03_9
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	1	SKA03_10
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	2	SKA03_11
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	2	SKA03_14
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	2	SKA03_15
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	4	SKA03_16
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	4	SKA03_19
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	4	SKA03_20
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	7	SKA03_22
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	7	SKA03_24
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	7	SKA03_25
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	12	SKA03_27
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	12	SKA03_28
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	12	SKA03_29
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	24	SKA03_32
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	24	SKA03_33
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	24	SKA03_34
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	48	SKA03_36
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	48	SKA03_38
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	infected	48	SKA03_39
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	mock	4	SKA03_41
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	mock	4	SKA03_43
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	mock	4	SKA03_45
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	mock	12	SKA03_46
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	mock	12	SKA03_48
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	mock	12	SKA03_49
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	mock	48	SKA03_56
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	mock	48	SKA03_58
Caco-2	Caco-2	Human colorectal adenocarcinoma cells	WT	mock	48	SKA03_59
